Ｔ恤	/T shirt/
倒数	/reciprocal/
倒塌	/collapse/topple/
倒台	/fall from power/
倒腾	/buy and sell/
倒头	/go to bed/
倒退	/reverse/backset/countermarch/retrogradation/retrograde/retrogress/retrogression/retroversion/
倒下	/fall down/
倒行逆施	/perverse actions/
倒悬	/hang upside down/
倒影	/inverted image/
倒运	/profiteer/unlucky/
倒置	/invert/inversion/place upside down/
倒转	/reverse/turn the other way round/
倒楣	/unfortunate/
岛	/island/
岛国	/island nation/
岛屿	/islands/
祷	/prayer/pray/supplication/
祷告	/prayer/
导	/transmit/lead/guide/conduct/direct/
导板	/opera rhythmic scheme/
导弹	/guided missile/cruise missile/missile/
导弹潜艇	/guided missile submarine/
导弹驱逐舰	/guided missile destroyer/
导电	/electric conduction/
导管	/catheter/conduit/vas/
导轨	/slide away/guide/
导航	/navigate/navigation/
导航员	/navigator/
导火索	/blasting fuse/
导火线	/primer/fuse/
导流	/diversion/
导轮	/guide pulley/
导尿	/catheterize/catheterization/
导盘	/godet/
导热	/heat conduction/
导师	/advisor/teacher/tutor/
导数	/derivative/
导体	/conductor/
导线	/wire/
导向	/guide/
导言	/introduction/
导演	/director/
导游	/tour guide/guide/cicerone/docent/conduct a sightseeing tour/
导游手册	/tour-guide handbook/
导致	/lead to/create/cause/bring about/
导致死亡	/lead to death/result in death/
到	/to/until/up to/go/arrive/
到场	/show up/present at the scene/
到处	/in all places/everywhere/
到处可见	/seen everywhere/
到此	/reach this point/
到此处	/hither/
到达	/reach/arrive/
到底	/finally/in the end/when all is said and done/
到点	/it's time/
到顶	/reach the limit/
到会	/present in meeting/
到家	/proficient/
到来	/arrival/advent/
到了	/reached/got/
到目前为止	/until now/so far/
到那个时候	/until this moment/
到那里	/thither/
到期	/become due/
到任	/assume post/
到时	/at the appointed time/
到时候	/at the appointed time/
到手	/come into one's possession/
到头	/to the end/
到头来	/after all/
到站	/arrive at the station/
到职	/assume a post/
稻	/paddy/rice/
稻草	/straw/
稻草人	/scarecrow/
稻地	/rice field/
稻谷	/rough rice/
稻米	/rice paddy/
稻穗	/rice ear/
稻田	/rice paddy/paddy field/
稻瘟病	/rice blast/
稻种	/rice seed/
稻子	/rice/
悼	/mourn/lament/
悼词	/memorial speech/
悼念	/mourn/
道	/direction/way/method/road/path/principle/truth/reason/skill/Tao/say/speak/talk/(a measure word for road, street, light, etc.)/
道别	/say goodbye/
道岔	/rail switch/
道场	/Buddhist sites/Taoist sites/
道道	/method/
道德	/moral/morality/virtue/
道德感	/sense of virtue/
道德规范	/virtue standard/
道德哲学	/virtue philosophy/
道地	/genuine/pure/well-done/thorough/
道钉	/spike/
道格拉斯	/Douglas/
道光	/brilliance of virtue/reign period 1821-1851/
道光帝	/Emperor Daoguang/
道涵	/Daohan/
道贺	/compliment/
道宏	/Daohong/
道佳	/Daojia/
道家	/Taoism/
道教	/Taoism/Daoism/
道具	/stage prop/
道口	/road junction/level crossing/
道理	/reason/argument/sense/principle/basis/justification/
道路	/road/path/way/
道门	/superstitious sects and secret societies/
道奇堡	/Fort Dodge/
道奇城	/Dodge City/
道歉	/apologize/make an apology/
道情	/chanting tales/
道人	/Taoist priest/
道森克里克	/Dawson Creek/
道士	/Taoist priest/
道听途说	/hearsay/
道谢	/express thanks/
道学	/Neo-Confucianism/moral/
道义	/morality and justice/
盗	/steal/rob/plunder/thief/bandit/robber/
盗版	/pirated copy/pirate version/
盗版者	/software pirate/
盗伐	/fell trees unlawfully/
盗匪	/robbers and bandits/
盗窃	/steal/
盗窃犯	/thief/larcener/larcenist/
盗用	/embezzle/embezzlement/malversation/misappropriate/usurp/
盗贼	/bandits/robbers/brigand/picaroon/picklock/
德	/Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind/
德班	/Durban/
德比	/Derby/Derbyshire/
德才兼备	/having both ability and integrity/
德成	/Decheng/
德顿	/Dedun/
德尔里奥	/Del Rio/
德尔塔	/Delta/
德凤	/Defeng/
德弗尔斯莱克	/Devils Lake/
德高望重	/of noble character and high prestige/
德根	/Degen/
德国	/Germany/German/
德国人	/German/German person/German people/
德黑兰	/Tehran/
德静	/Dejing/
德克勒克	/Deklerk/
德克萨斯	/Texas/
德克萨斯大学	/University of Texas/
德克萨斯州	/Texas state/
德拉瓦	/Delaware/
德拉瓦大学	/University of Delaware/
德赖登	/Dryden/
德勒	/Deleur/Dohre/
德雷顿瓦利	/Drayton Valley/
德雷尔	/Dreyer/
德雷克塞尔大学	/Drexel University/
德累斯顿	/Dresden/
德利	/Deli/
德良	/Deliang/
德卢斯	/Duluth/
德明	/Deming/
德尼利昆	/Deniliquin/
德培	/Depei/
德斯廷	/Destin/
德文	/German language/German/Devon/
德文波特	/Devonport/
德兴	/Dexing/
德行	/moral integrity/moral conduct/
德意志	/Germany/
德语	/German language/German/
德育	/moral education/
德彰	/Dezhang/
德智体	/morality wisdom health/
德治	/Deye/
德州	/Dezhou/
得	/obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished/degree/possibility/have to/must/ought to/need to/(a sentence particle used after a verb to show effect)/
得安	/De'an/
得病	/fall ill/contract a disease/
得不偿失	/not worth the effort/
得不到	/cannot get/cannot obtain/
得逞	/prevail/
得出	/obtain/arrive at/
得寸进尺	/given an inch, want a mile/get an inch, want a foot/
得当	/expedient/
得到	/get/obtain/receive/
得法	/getting the knack of doing something/
得分	/score/
得过且过	/do what situation requires/muddle along/
得奖	/win a prize/
得救	/saved/
得看看	/have to have a look/
得克萨斯州Ａ与Ｍ大学	/Texas A&M University/
得来	/gain/
得力	/benefit from/capable/
得了	/enough/
得梅因	/Des Moines/
得票	/vote-getting/
得票率	/percentage of votes obtained/
得气	/bring about the desired sensation/
得胜	/triumph/
得失	/success and failure/
得势	/in power/
得手	/go smoothly/
得数	/answer/
得体	/appropriate/
得天独厚	/advantageous/
得土安	/Tetuan/
得悉	/learn about/
得心应手	/with high proficiency/handy/
得宜	/proper/appropriate/suitable/
得以	/able to/
得意	/complacent/proud of oneself/pleased with oneself/
得意洋洋	/immensely proud/look triumphant/elate/elated/exalt/elation/exaltation/
得益	/benefit/
得知	/learn of/find out and know/
得志	/successful/
得罪	/offend/
得罪人	/offend somebody/
的	/of/really and truly/aim/clear/(possessive particle)/
的的确确	/indeed/
的话	/if/
的黎波里	/Tripoli/
的里雅斯特	/Trieste/
的确	/really/indeed/
的确良	/Dacron/
蹬	/step into/
蹬辉	/Denghui/
灯	/lamp/light/
灯标	/light signal/
灯光	/lighting/light/
灯黑	/light is not bright enough/
灯火	/lights/glim/
灯火辉煌	/brilliantly illuminated/
灯节	/the Lantern Festival/
灯具	/lamps and lanterns/
灯笼	/lantern/
灯谜	/riddles/
灯泡	/light bulb/
灯丝	/filament/
灯塔	/lighthouse/
灯芯	/wick/
灯影	/shadow of lamplight/
灯油	/lamp oil/
灯罩	/lamp-shade/
登	/ceremonial vessel/scale/climb/ascend/mount/go up/register/note/publish/issue/record/
登岸	/go shore/
登巴萨	/Denpasar/
登报	/publish in newspaper/
登报纸	/publish in newspaper/
登场	/come on stage/
登峰造极	/reach the peak/
登高	/ascend a height/uprise/
登广告	/advertise/
登辉	/Denghui/
登基	/ascend throne/
登机	/boarding/
登记	/register/
登记用户	/registered user/
登陆	/land/
登陆月球	/moon landing/land on the moon/
登门	/pay a visit to someone's house/
登攀	/climb/
登山	/mountaineering/mountain-climbing/
登山家	/mountaineer/
登上	/mount/
登时	/immediately/
登台	/go on stage/
登月	/land on the moon/go up to the moon/moon landing/
登载	/publish/
等	/class/rank/grade/equal to/same as/wait for/await/et cetera/and so on/
等比数列	/geometric series of numbers/
等边	/equilateral/
等差	/equal difference/
等差数列	/arithmetic series of numbers/
等待	/wait for/await/
等到	/wait until/by the time when/
等等	/et cetera/etc/etcetera/and so on/
等分	/equal divisions/equal portions/
等份	/equally divided parts/
等高线	/altitudes/
等号	/equal sign/
等候	/waiting/
等级	/degree/rate/
等价	/equipollence/equivalence/equivalency/
等价物	/equivalent/
等角	/equal angles/
等距	/equidistance/
等距离	/equidistance/
等离子体	/plasma/
等人	/wait for somebody/
等式	/equality/
等同	/equate/
等外	/substandard/below par/
等位基因	/allele/
等温	/isohel/
等温线	/isotherm/
等闲	/commonplace/aimlessly/
等闲视之	/treat casually/
等效	/equivalent/
等效电路	/equivalent circuit/
等腰	/isosceles/
等腰三角形	/isosceles triangle/
等一等	/wait/
等于	/equal to/amount to/
等于零	/equal to zero/
等于说	/that is to say/
等值	/equivalence/equivalency/
等值线	/isogram/isopleth/
瞪	/stare at/
瞪眼	/stare/
凳	/bench/stool/
凳子	/stool/small seat/
邓	/Deng/
邓巴顿	/Dumbarton/
邓迪	/Dundee/
邓弗里斯－盖洛韦	/Dumfries & Galloway/
邓弗姆林	/Dundermline/
邓甘嫩	/Dungannon/
邓加	/Deng Jia/
邓肯	/Duncan/Quam/
邓亮洪	/Tang Liang Hong/
邓尼金	/Denikin/
邓县	/Deng county/
邓小平	/Deng Xiaoping/
堤	/dike/
堤岸	/embankment/
堤坝	/dikes and dams/
堤防	/embankment/dike/
低	/lower/let droop/hang down/low/incline/beneath/
低矮	/short/
低层	/low level/
低产	/low yield/
低潮	/low ebb/
低沉	/overcast of sky/low and deep of voice/low in spirit/
低成本	/low cost/inexpensive/
低垂	/droop/hang low/vail/
低档	/of low rank/low-grade/
低等	/inferior/
低低	/low/
低地	/lowland/
低调	/low key/low-profile/
低费用	/low cost/
低估	/underestimate/underestimation/underrate/underrating/undervaluation/undervalue/
低耗	/low consumption/
低合金钢	/low-alloy steel/
低级	/low level/
低级语言	/low level language/
低阶	/low level/
低阶语言	/low level language/
低空	/low altitude/
低栏	/low hurdles/
低廉	/cheap/inexpensive/low/
低劣	/inferior/
低落	/low/downcast/drop/fall/low-spirited/depressed/
低能	/mental deficiency/feeblemindedness/moronism/moronity/
低频	/low frequency/
低气压	/low atmospheric pressure/
低热	/low heat/
低声	/in a low voice/under one's breath/
低速	/low speed/
低速率	/low speed/
低碳钢	/low-carbon steel/
低头	/lower the head/
低洼	/low-lying/
低洼地	/swale/
低微	/low/lowly/humble/insignificance/insignificancy/
低温	/low temperature/
低息	/low interest/
低下	/low/
低消耗	/low consumption/
低压	/low pressure/
低音	/bass/
低于	/lower than/
低语	/mutter/
低值易耗品	/low cost but easily consumed product/
滴	/drop/drip/
滴答声	/tick/tock/
滴滴涕	/DDT/
滴定	/titrate/titration/
滴定管	/titration dropper/
滴管	/dropper/buret/burette/
滴流	/trickle/
滴水	/water dripping/
滴下	/drip/
迪	/direct/follow/
迪拜	/Dubai/
迪尔伯恩	/Dearborn/
迪法恩斯	/Defiance/
迪金逊	/Dickinson/
迪科拉	/Decorah/
迪伦班代	/Dirranbandi/
迪纳尔	/Dinard/
迪涅	/Digne/
迪赛德	/Deeside/
迪斯科	/disco dancing/
迪耶普	/Dieppe/
敌	/enemy/match/
敌百虫	/trichlorfon/trichlorphon/
敌对	/hostile/
敌方	/enemy side/
敌国	/enemy state/
敌后	/enemy rear area/
敌军	/enemy troop/
敌情	/enemy situation/
敌人	/enemy/
敌视	/regard with hostility/
敌手	/antagonist/
敌特	/enemy spy/
敌伪	/enemy and puppet regime/
敌我矛盾	/contradictions between both sides/
敌意	/enmity/hostility/
笛	/flute/
笛卡儿	/Descartes/
笛膜	/membrane covering hole in flute/
笛子	/flute/
狄	/barbarians/Di tribe/Di/
狄龙	/Dillon/
涤	/wash/cleanse/
涤纶	/Dacron/polyester/
翟	/long-tail pheasant/Zhai/
嫡	/first wife/son of first wife/
嫡系	/direct descendant/
抵	/hold up/on the whole/push against/support/resist/reach/arrive/mortgage/butt/
抵补	/compensate/
抵偿	/compensate/
抵触	/contradict/
抵达	/arrive/reach/
抵挡	/keep out/
抵抗	/resist/resistance/
抵抗力	/resistance/immunity/
抵抗力量	/resistance force/
抵赖	/disavow/deny/
抵销	/offset/cancel out/counteract/countervail/standoff/
抵消	/counteract/
抵押	/mortgage/
抵押贷款	/mortgage loan/
抵御	/resist/
抵债	/pay off a debt/
抵制	/resistance/refusal/boycott/
抵罪	/punished for a crime/
底	/bottom/base/background/(possessive particle)/
底本	/master copy/
底边	/hemline/
底部	/bottom/
底层	/first floor/
底肥	/base fertilizer/
底架	/chassis/
底角	/base angle/
底里	/invisible side/the inside/
底盘	/chassis/bed/
底片	/negatives/
底漆	/primer/priming paint/
底色	/bottom color/undertone/
底数	/base number/truth of a matter/
底特律	/Detroit/
底土	/subsoil/
底细	/details/
底下	/under/after/
底线	/underline/
底止	/end/
底子	/bottom/base/foundation/grounding/rough draft/sketch/copy kept as a record/
底座	/foundation/
地	/earth/ground/field/place/land/-ly/(subordinate adverbial particle)/
地板	/floor/
地表	/surface/
地波	/terrestrial wave/
地步	/condition/extent/
地层	/stratum/
地产	/estate/
地磁	/geomagnetism/
地大物博	/vast territory and abundant resources/
地带	/zone/
地道	/tunnel/
地地道道	/authentic/
地点	/place/site/location/
地电	/terrestrial electricity/
地动	/earthquake/
地洞	/tunnel/
地段	/sector of an area/
地对空导弹	/ground-to-air missile/
地儿	/place/space/
地方	/area/place/local/
地方病	/endemic disease/
地方部队	/local troops/
地方当局	/local authorities/
地方法院	/local court/
地方分权	/decentralization/
地方工业	/local industry/
地方官职位	/prefecture/
地方国营	/state-owned and locally-administrated/
地方军	/local army/
地方色彩	/local color/
地方税	/local taxes/
地方停车	/parking place/
地方武装	/local armed force/
地方戏	/local opera/
地方戏曲	/local opera/
地方行政	/local administration/
地方性	/local/
地方选举	/local election/
地方舆论	/local public opinion/
地方政府	/local government/
地方志	/local chronicles/annals of local history/
地方主义	/localism/attitude of favoring one's local region/
地方自治	/local autonomy/
地瓜	/sweet potato/yam bean/
地广人稀	/sparsely inhabited/
地滚球	/ground ball/
地基	/ground/substratum/
地基承载力	/ground supporting capacity/
地积	/measure of land/
地价	/land price/
地脚	/bottom margin/
地窖	/cellar/cellarage/
地界	/boundaries/abuttals/the boundary of a piece of land/
地壳	/the Earth's crust/
地块	/land parcel/
地拉那	/Tirana/
地蜡	/earth wax/ozocerite/ozokerite/paraffin/
地雷	/land mine/
地理	/geography/
地理环境	/geographical environment/
地理位置	/geographic position/
地理学	/geography/
地利	/favorable geographical position/land productivity/
地利人和	/advantageous geography and supports from people/
地力	/soil fertility/
地龙	/earthworm/
地貌	/geomorphology/geomorphological/
地面	/floor/ground/surface/
地面部队	/ground forces/
地面积	/area/
地面水	/ground water/
地面温度	/ground temperature/
地面站	/ground station/
地名	/place name/toponym/
地亩	/farmland/
地盘	/domain/
地皮	/lot, section of land, ground/
地痞	/local ruffians/
地平线	/horizon/
地勤	/ground duty/
地球	/the Earth/planet/
地球大气	/earth's atmosphere/
地球化学	/geochemistry/
地球上	/on Earth/
地球物理	/physics of the earth/
地球物理学	/geophysics/
地区	/area/region/
地区差价	/regional price difference/
地区性	/regional/local/
地热	/internal heat of the earth/geothermal/geothermic/
地热电站	/geothermal power plant/
地上	/on the ground/
地势	/topography/
地税	/land tax/
地摊	/stall/
地毯	/carpet/rug/
地铁	/subway/metro/
地头	/edge of field/
地图	/map/
地委	/prefectural Party committee/
地位	/position/status/place/
地温	/ground temperature/
地物	/surface features/
地下	/underground/secret/on the ground/
地下道	/tunnel/
地下害虫	/underground insects/
地下茎	/subterranean stem/rhizome/
地下开采	/underground mining/
地下室	/basement/cellar/
地下水	/ground water/
地下水位	/groundwater level/
地下铁	/underground iron/
地下铁道	/subway/underground railway/
地下铁路	/subway/
地下通道	/underground channel/
地下作业	/underground work/
地线	/ground wire/
地心	/geocentric/
地心吸力	/gravitation/
地形	/topography/terrain/land form/
地形图	/topographic diagram/
地学	/geology/geography/
地压	/earth pressure/
地衣	/lichens/ground sheet/
地域	/area/district/region/
地狱	/hell/infernal/underworld/
地震	/earthquake/
地震学	/seismology/
地震预报	/earthquake forecasting/
地震中心	/earthquake center/
地政	/land administration/
地支	/Twelve Earthly Branches/
地址	/address/
地址的转换	/address translation/
地址解析协议	/address resolution protocol/ARP/
地质	/geology/
地质编录	/geological documentation/
地质图	/geologic map/
地质学	/geology/
地质学家	/geologist/
地中海	/the Mediterranean sea/
地轴	/the earth's axis/
地主	/landlord/host/
地主分子	/landlord/
地主阶级	/the landlord class/squirearchy/
地租	/land rent/
地幔	/mantle/
蒂	/stem/
蒂阿瑙	/Te Anau/
蒂夫顿	/Tifton/
蒂华纳	/Tijuana/
蒂卡尔	/Tikal/
蒂勒	/Tulle/
蒂马鲁	/Timaru/
蒂明斯	/Timmins/
蒂默特	/Tumut/
蒂涅	/Tignes/
蒂瓦特	/Tivat/
第	/number/-th/(prefix before a number, for ordering numbers, e.g. first, number two, etc)/
第八	/eighth/
第八十	/eightieth/
第比利斯	/Tbilisi/
第二	/number two/secondly/second/
第二次	/second/second time/
第二次世界大战	/World War 2/
第二国际	/Second International/
第二军医大学	/Second Military Medical Academy/
第二名	/second/
第二审	/second instance/
第二十	/twentieth/
第二世界	/Second world/
第二位	/second place/
第二信号系统	/second signaling system/
第二性	/secondary/
第二宇宙速度	/second cosmic velocity/
第九	/ninth/
第九十	/ninetieth/
第六	/sixth/
第六十	/sixtieth/
第七	/seventh/
第七十	/seventieth/
第戎	/Dijon/
第三	/third/No. 3/
第三次	/third/third time/
第三等级	/third grade/
第三方	/third party/
第三纪	/Tertiary period/
第三十	/thirtieth/
第三世界	/Third World/
第三者	/third party/
第十	/tenth/
第十八	/eighteenth/
第十二	/twelfth/
第十九	/nineteenth/
第十六	/sixteenth/
第十七	/seventeenth/
第十三	/thirteenth/
第十五	/fifteenth/
第十一	/eleventh/
第四	/fourth/number four/
第四纪	/Quaternary period/
第五	/fifth/
第五类	/category five/
第五十	/fiftieth/
第一	/first/No. 1/
第一步	/step one/first step/
第一次	/first/first time/number one/
第一次世界大战	/First World War/
第一次世界大战后	/post-First World War/
第一个层次	/the first stage/
第一回	/first chapter/
第一卷	/first volume/
第一例	/first case/first instance/first time/
第一流	/first-class/
第一任	/first appointed/during the first term/
第一审	/first instance/
第一手	/firsthand/
第一线	/forefront/
第一信号系统	/first signaling system/
第一性	/primary/
第一章	/chapter one/
帝	/emperor/
帝俄	/Russia/
帝国	/empire/imperial/
帝国主义	/imperialism/
帝国主义分子	/imperialist/
帝王	/regal/
帝王将相	/emperors and generals/
帝制	/autocracy/monarchy/
弟	/younger brother/
弟弟	/younger brother/
弟妹	/sister in law/younger brother and younger sister/
弟兄	/brother/
弟兄们	/brothers/
弟子	/pupil/
递	/hand over/pass/give/
递给	/give/
递减	/decrease progressively/
递交	/submit/
递送	/send/
递增	/increases progressively/
缔	/closely joined/connection/knot/
缔结	/conclude/
缔约	/conclude a treaty/
缔约国	/signatory state/
缔造	/create/
颠	/inverted/jolt/top/
颠倒	/put upside down/turn upside down/reverse/topsy-turvy/upend/
颠倒过来	/invert/
颠倒黑白	/distort the facts/
颠倒是非	/confuse right and wrong/
颠覆	/subversion/
颠复	/overturn/
颠扑不破	/irrefutable/
颠簸	/jolt/joggle/bump/toss/
掂	/weigh in the hand/
掂量	/think over/
滇	/Yunnan/
滇池	/Yunnan pond/
碘	/iodine/
碘化钾	/potassium iodide/
碘化银	/potassium silver/
碘酒	/tincture of iodine/
碘钨灯	/iodine-tungsten lamp/
点	/o'clock/point/dot/decimal point/(downwards-right convex character stroke)/(a measure word)/
点播	/dibble/select something to broadcast/
点菜	/order food/
点出	/touch on briefly/select/
点灯	/light a lamp/
点滴	/a bit/dribble/dropping/
点点	/tiny bit/
点点头	/nod/
点儿	/dot/
点火	/ignition/kindling/
点火器	/igniter/
点将	/call and assign tasks to officers/
点面结合	/integrate key points and general work/
点名	/roll call/
点燃	/ignite/light/enkindle/ignition/
点数	/count/
点头	/nod/
点头招呼	/beckon/
点心	/light refreshments/pastry/
点心店	/dessert shop/
点阵	/dot matrix/
点钟	/clock/
点缀	/embellish/embellishment/
点子	/dot/key point/idea/
典	/canon/dictionary/
典当	/hock/pawn/
典范	/model/example/
典故	/literary reference/
典籍	/ancient book/
典礼	/celebration/ceremony/
典型	/typical/
典型调查	/typical survey/
典型化	/make typical/
典型性	/typical nature/
典型用途	/typical use/typical application/
典雅	/refined/
典狱长	/warden/
典章	/institutions/
靛	/indigo pigment/
靛蓝	/indigo/indigotin/
靛青	/indigo/
垫	/pad/cushion/mat/
垫板	/under board/plate/
垫付	/pay for somebody and expected to be repaid later/
垫片	/spacer/shim/
垫圈	/gasket/
垫支资本	/capital that pays for another temporarily/
垫子	/cushion/mat/
电	/electric/electricity/electrical/
电棒	/flashlight/
电报	/telegram/cable/telegraph/
电报机	/telegraph/
电表	/electricity meter/
电冰箱	/fridge/refrigerator/
电波	/electric wave/
电铲	/power shovel/
电场	/electric field/
电厂	/power plant/
电唱机	/phonograph/
电车	/trolley bus/
电池	/battery/
电池组	/battery/
电除尘器	/electric precipitator/electrofilter/
电传	/fax/
电传机	/teleprinter/
电磁	/electromagnetic/
电磁波	/electromagnetic wave/
电磁场	/electromagnetic field/
电磁辐射	/electromagnetic radiation/
电磁干扰	/electromagnetic interference/
电磁感应	/electromagnetic induction/
电磁铁	/electro-magnet/
电磁学	/electromagnetics/electromagnetism/magnetoelectricity/
电磁噪声	/electromagnetic noise/
电磁振荡	/electromagnetic vibration/
电导	/conductance/
电灯	/electric light/
电灯泡	/bulb/
电动	/electrically operated/
电动车	/electro-car/
电动机	/electro-motor/
电动势	/electromotive force/emf/
电镀	/anodize/electro-cladding/electro-facing/electro-gilding/electroplate/galvanize/galvanization/plating/
电风扇	/electric fan/
电负性	/electro-negativity/
电感	/inductance/
电告	/inform by telegram/
电工	/electrician/
电功率	/electric power/
电光	/electric light/lightning flash/
电焊	/electro-welding/
电焊工	/electric welder/
电荷	/electric charge/
电贺	/congratulations telegraph/
电弧	/electric arc/
电化学	/electrochemistry/
电话	/telephone/phone call/
电话本	/phone book/
电话簿	/telephone directory/
电话服务	/telephone service/
电话会议	/conference call/
电话机	/telephone equipment/
电话铃声	/buzz/
电话亭	/telephone booth/
电话网	/telephone network/
电话网路	/telephone network/
电话线	/telephone line/telephone wire/
电话线路	/telephone line/
电话信号	/telephone signal/
电火花	/electric spark/
电机	/electrical machinery/
电机车	/electric locomotive/
电机工程	/electrical engineering/
电机及电子学工程师联合会	/IEEE/Institute of Electrical and Electronic Engineers/
电机组	/electrical machinery/
电极	/electrode/
电键	/telegraph key/
电解	/electroanalysis/electrolysis/electrolyze/
电解槽	/electrobath/electrolyzer/
电解电容器	/electrolytic capacitor/
电解质	/electrolyte/
电介质	/dielectric medium/
电抗	/reactance/
电缆	/electric cable/cable/
电缆调制解调器	/cable modem/
电烙铁	/electric iron/
电离	/ionize/ionizing/ionization/
电离层	/ionosphere/
电离能	/ionizing energy/
电力	/electrical power/electricity/
电力不足	/insufficient power/
电力工业	/power industry/
电力工业部	/power ministry of industry/
电力供应	/power supply/
电力公司	/power company/
电力网	/power network/
电力系统	/power system/
电力线	/electric line of force/
电力线路	/power circuit/
电量	/electricity quantity/
电疗	/electrotherapy/
电铃	/electric bell/
电流	/electric current/
电流表	/ammeter/current meter/galvanometer/
电流计	/galvanometer/
电流继电器	/current relay/
电炉	/electric stove/hot plate/
电路	/electric circuit/circuit/
电路图	/circuit diagram/
电码	/telegraph code/
电脑	/computer/
电脑操作	/computer operation/
电脑辅助工程	/computer aided engineering/
电脑辅助教材	/computer-aided instruction/
电脑辅助设计	/computer-aided design/
电脑辅助设计与绘图	/computer-aided design and drawing/
电脑公司	/computer company/
电脑企业	/computer company/computer firm/
电脑软件	/computer software/
电脑网	/computer network/Internet/
电脑网路	/computer network/
电脑网络	/internet/
电脑系统	/computer system/
电脑业者	/software developer/
电脑与电话系统整合	/computer telephony integration/CTI/
电脑语言	/programming language/computer language/
电能	/electrical energy/
电钮	/push-button/
电平	/level/
电瓶	/storage battery/
电器	/electrical appliance/appliance/device/
电器儿	/electric appliance/
电气	/electric/
电气工程	/electrical engineering/
电气功	/electric qigong/
电气化	/electrify/electrification/
电气化工程	/electrification engineering/
电桥	/electric bridge/
电热	/electrothermal/
电容	/capacitance/electric capacity/
电容器	/condenser/capacitor/
电扇	/electric fan/
电渗析	/electrodialysis/
电石	/calcium carbide/tourmaline/
电石气	/acetylene/
电视	/television/TV/
电视广播	/telecasting/
电视画面	/television picture/
电视机	/television/television set/TV/
电视接收机	/television receiver/
电视节目	/television program/
电视剧	/TV drama program/
电视连续剧	/TV series/
电视频道	/television channel/
电视塔	/television tower/
电视台	/TV station/
电视网	/television network/
电视直播卫星	/television direct transmission satellite/
电视转播	/television relay/
电枢	/armature/
电刷	/electronics brush/
电台	/radio station/broadcasting station/
电台记者	/broadcasting station reporter/
电梯	/elevator/
电筒	/flashlight/
电网	/electrical network/
电位	/electric potential/
电位差	/potential difference/
电位器	/potentiometer/
电文	/telegram text/
电线	/wire/
电信	/telecommunications/
电信服务	/telecommunications service/
电信服务供应商	/telecommunications service provider/
电信号	/electrical signal/
电信局	/central office/telecommunications office/
电信网路	/telecommunications network/
电信总局	/telecommunication main bureau/
电学	/electricity/
电讯	/telecommunications/
电压	/voltage/
电压互感器	/voltage transformer/
电影	/movie/film/
电影导演	/movie director/
电影儿	/movie/
电影机	/movie machine/
电影界	/filmdom/screenland/motion-picture industry/
电影剧本	/screenplay/
电影演员	/movie actor/
电影院	/cinema/movie theater/
电影制作	/movie manufacture/
电泳	/cataphoresis/electrophoresis/
电邮	/email/
电邮位置	/email address/
电源	/power source/
电源线	/power line/
电晕	/electronics corona/
电渣炉	/electroslag furnace/
电站	/power plant/
电子	/electronic/electron/
电子电路	/electronic circuit/
电子伏特	/electron-volt/
电子工业	/electronics industry/
电子工业部	/electron ministry of industry/
电子管	/electron tube/
电子计算机	/electronic computer/
电子科技大学	/electronic science and technology university/
电子空间	/cyberspace/
电子控制	/electronic control/
电子流	/electron stream/
电子枪	/electron gun/
电子束	/electron beam/
电子网络	/electronic network/
电子文件	/electronic document/
电子显微镜	/electron microscope/
电子信箱	/electronic mailbox/
电子学	/electronics/
电子音响	/electronic sound/
电子邮件	/electronic mail/email/
电子邮件传送服务	/E-mail delivery service/mail delivery service/
电子游戏	/electronic game/
电子元件	/electronic component/
电子云	/electronic cloud/
电阻	/resistance/
电钻	/electrodrill/
佃	/farmer/
佃户	/tenant farmer/
佃客	/tenant farmer/
佃农	/tenant-peasant/tenantry/
佃租	/land rent/
甸	/imperial domain/suburb/
店	/inn/shop/store/
店家	/shop owner/
店面	/storefront/
店铺	/shop/store/
店员	/shop assistance/salesclerk/clerk/salesman/saleswoman/salesperson/
店主	/shop owner/
惦	/remember with concern/concerned about/keep thinking about/
惦记	/remember with concern/concerned about/keep thinking about/
惦念	/keep thinking about/anxious about/worry about/
奠	/libation/
奠定	/establish/fix/settle/make offerings to the spirits of the dead/
奠基	/lay a foundation/
奠基人	/founder/
淀	/sediment/precipitate/shallow water/form sediment/settle/shallow lake/
淀粉	/starch/amylum/
淀粉酶	/amylase/
殿	/palace hall/hall/palace/temple/at the rear/
殿后	/bring up the rear/
殿堂	/palace hall/
殿下	/Your Highness/His Highness/Her Highness/
碉	/Tibetan stone house/
碉堡	/pillbox/blockhouse/
叼	/hold in the mouth/
雕	/engrave/shrewd/golden eagle/carve/
雕刻	/carve/engrave/
雕刻家	/sculptor/
雕刻品	/sculpture/
雕门岛	/Tioman/
雕塑	/sculpture/
雕像	/statue/
雕琢	/cut and polish/
凋	/withered/wither/
凋敝	/hard/destitute/depressed/
凋零	/withered, fallen and scattered about/
凋谢	/languish/wither and fall/die of old age/
刁	/artful/wicked/tricky/sly/Diao/
刁难	/create difficulties/make things difficult/
掉	/drop/fall/shed/come off/lose/missing/fall behind/turn/
掉队	/drop out/drop off/fall behind/
掉换	/exchange/change/swap/
掉落	/flop/
